Empresa;Origem do Grão;Região de Origem do Grão;REF;Data de Revisão;Percentual de Cacau;Localização da Empresa;Avaliação;Tipo de Grão
Cacaoyere (Ecuatoriana);Pichincha;Ecuador;259;2008;91%;Ecuador;1.5;Forastero (Arriba)
Callebaut;Grenade;Grenada;296;2008;60%;Belgium;2.75;Trinitario
Callebaut;Baking;Ecuador;141;2007;70%;Belgium;1;
C-Amaro;Cuba;Cuba;1442;2014;75%;Italy;2.5;
C-Amaro;Dominican Republic;Dominican Republic;1442;2014;72%;Italy;3;
C-Amaro;Lago di Como, Blu;;1442;2014;70%;Italy;3.5;Blend
C-Amaro;Ecuador;Ecuador;1185;2013;100%;Italy;3.5;
C-Amaro;Venezuela;Venezuela;809;2012;80%;Italy;3;
C-Amaro;Sao Tome;Sao Tome;749;2011;78%;Italy;2.25;Forastero
C-Amaro;Trinidad;Trinidad;765;2011;70%;Italy;2.5;Trinitario
Cao;Porcelana;Venezuela;1804;2016;75%;U.S.A.;2.5;Criollo
Cao;Tanzania;Tanzania;1804;2016;73%;U.S.A.;2.75;
Cao;Porcelana, Batch 5163;Venezuela;1804;2016;70%;U.S.A.;3;Criollo
Cao;Bolivia;Bolivia;1808;2016;75%;U.S.A.;3;
Cao;Brazil;Brazil;1808;2016;70%;U.S.A.;3.25;Trinitario
Caoni (Tulicorp);Esmeraldas;Ecuador;237;2008;77%;Ecuador;2;Forastero (Arriba)
Caoni (Tulicorp);Manabi;Ecuador;237;2008;77%;Ecuador;2.5;Forastero (Arriba)
Caoni (Tulicorp);Los Rios;Ecuador;245;2008;77%;Ecuador;2.75;Forastero (Arriba)
Caoni (Tulicorp);Manabi;Ecuador;266;2008;55%;Ecuador;3;Forastero (Arriba)
Caoni (Tulicorp);Los Rios;Ecuador;269;2008;55%;Ecuador;3.25;Forastero (Arriba)
Caoni (Tulicorp);Esmeraldas;Ecuador;269;2008;55%;Ecuador;3.5;Forastero (Arriba)
Captain Pembleton;Saidor Estate, Madang P.;Papua New Guinea;1263;2014;70%;New Zealand;3.5;Trinitario
Captain Pembleton;Kulili Estate;Papua New Guinea;1263;2014;70%;New Zealand;3.75;
Caribeans;Antigua, Special Reserve;Guatemala;1582;2015;72%;Costa Rica;3.5;
Caribeans;Talamanca, Raul-Kekoldo community;Costa Rica;1586;2015;72%;Costa Rica;3.25;
Caribeans;Anselmo Paraiso Estate;Costa Rica;1586;2015;72%;Costa Rica;3.5;
Caribeans;Costa Rica;Costa Rica;841;2012;72%;Costa Rica;3;Forastero
Caribeans;Costa Rica;Costa Rica;845;2012;80%;Costa Rica;2.75;Forastero
Carlotta Chocolat;Arauca;Colombia;1884;2016;65%;Colombia;3;Trinitario
Carlotta Chocolat;Tumaco;Colombia;1888;2016;65%;Colombia;3.25;Trinitario
Carlotta Chocolat;Cordoba;Colombia;1888;2016;65%;Colombia;3.25;Trinitario
Carlotta Chocolat;Huila;Colombia;1888;2016;65%;Colombia;3.5;Trinitario
Carlotta Chocolat;Cesar;Colombia;1888;2016;65%;Colombia;3.5;CCN51
Castronovo;Maya Mtn, Batch 454, Heirloom;Belize;1724;2016;72%;U.S.A.;4;Trinitario
Castronovo;the lost city, gracias a dias, batch 362;Honduras;1570;2015;72%;U.S.A.;3.5;Trinitario
Castronovo;Duarte, Batch 360;Domincan Republic;1570;2015;70%;U.S.A.;3.75;Criollo, Trinitario
Castronovo;Piaroa, Amazonas, Batch 350;Venezuela;1574;2015;72%;U.S.A.;3.5;
Castronovo;Sierra Nevada;Colombia;1347;2014;72%;U.S.A.;3.5;Criollo, Trinitario
Castronovo;Arauca;Colombia;1371;2014;76%;U.S.A.;3.5;Criollo, Trinitario
Castronovo;Elvesia P.;Dominican Republic;1407;2014;70%;U.S.A.;2.75;Trinitario
Castronovo;Bolivia;Bolivia;1101;2013;70%;U.S.A.;3;Trinitario
Castronovo;Conacado;Dominican Republic;1101;2013;73%;U.S.A.;3.5;Trinitario
Castronovo;San Martin;Peru;1105;2013;70%;U.S.A.;2.5;Criollo
Castronovo;Guaniamo, Amazonas;Venezuela;1105;2013;70%;U.S.A.;3.25;
Castronovo;Nicaragua;Nicaragua;1109;2013;72%;U.S.A.;3.25;Trinitario
Castronovo;Tumbes;Peru;1153;2013;70%;U.S.A.;2.75;Criollo
Castronovo;Guaniamo;Venezuela;1153;2013;72%;U.S.A.;3;
Cello;Ecuador;Ecuador;1247;2014;70%;U.S.A.;2.5;
Cello;Peru;Peru;1247;2014;70%;U.S.A.;2.75;
Cello;Venezuela;Venezuela;1251;2014;70%;U.S.A.;2.75;
Cello;Bolivia;Bolivia;1251;2014;70%;U.S.A.;3;
Cemoi;Equateur;Ecuador;404;2009;72%;France;2.75;
Chaleur B;Uganda;Uganda;1426;2014;70%;Canada;2.75;Forastero
Charm School;Maya Mtn;Belize;1900;2016;70%;U.S.A.;3.25;
Chchukululu (Tulicorp);Arriba;Ecuador;486;2010;55%;Ecuador;2.75;Forastero (Arriba)
Chchukululu (Tulicorp);Los Rios;Ecuador;252;2008;75%;Ecuador;3;Forastero (Arriba)
Chequessett;la Amistad;Costa Rica;1235;2014;70%;U.S.A.;3.5;
Chloe Chocolat;Blend No. 1;;672;2011;70%;France;3.5;
Chocablog;Ecuador;Ecuador;1454;2015;70%;U.K.;3.25;
Choco Del Sol;Maya Mountain w/ nibs;Belize;1407;2014;75%;Germany;3;Trinitario
Choco Del Sol;Maya Mountain;Belize;1407;2014;82%;Germany;3.25;Trinitario
Choco Dong;Mekong Delta, early 2014 Harvest;Vietnam;1696;2015;70%;South Korea;2.75;Trinitario
Choco Dong;Tawau, Oct. 2015 Harvest;Malaysia;1696;2015;70%;South Korea;3.5;Trinitario
Chocolarder;Peru;Peru;1482;2015;65%;U.K.;2.5;Criollo
Chocolarder;Peru + nibs;Peru;1482;2015;65%;U.K.;2.75;Criollo
Chocolarder;Dominican Republic;Dominican Republic;1514;2015;80%;U.K.;2.5;
Chocola'te;Madagascar;Madagascar;647;2011;70%;U.S.A.;3.75;Trinitario
Chocola'te;Venezuela;Venezuela;647;2011;68%;U.S.A.;3.75;
Chocolate Alchemist-Philly;"Tumbes, ""Zarumilla""";Peru;1772;2016;90%;U.S.A.;2.5;
Chocolate Alchemist-Philly;Philly Blend, 5 plantations;;1772;2016;80%;U.S.A.;2.5;
Chocolate Con Amor;Wild Bolivian;Bolivia;1760;2016;70%;U.S.A.;2.5;
Chocolate Con Amor;Uganda;Uganda;1760;2016;70%;U.S.A.;2.75;
Chocolate Con Amor;Dominican Republic;Dominican Republic;1764;2016;60%;U.S.A.;3;
Chocolate Con Amor;Dominican Republic;Dominican Republic;1764;2016;75%;U.S.A.;3;
Chocolate Con Amor;Ocumare;Venezuela;1764;2016;80%;U.S.A.;3;Criollo (Ocumare)
Chocolate Con Amor;Ecuador;Ecuador;1764;2016;70%;U.S.A.;3.25;
Chocolate Con Amor;Nicaragua;Nicaragua;1768;2016;80%;U.S.A.;2.75;
Chocolate Conspiracy;Peru;Peru;1259;2014;74%;U.S.A.;2.75;
Chocolate Makers;Tres Hombres;Dominican Republic;1530;2015;75%;Amsterdam;3.25;Trinitario
Chocolate Makers;Congo, Gorilla bar;Congo;1530;2015;68%;Amsterdam;3.5;Forastero
Chocolate Makers;Peru, Awagum bar;Peru;1530;2015;80%;Amsterdam;3.75;Criollo
Chocolate Tree; The;Forastero (Nacional);Maranon;1582;2015;69%;Scotland;3.75
Chocolate Tree; The;Trinitario;Carenero Superior;1582;2015;80%;Scotland;3.75
Chocolate Tree; The;Forastero (Nacional);Peru;1121;2013;70%;Scotland;3.75
Chocolate Tree; The;Forastero (Arriba);Ecuador;919;2012;82%;Scotland;2.5
Chocolate Tree; The;Criollo;Peru;919;2012;68%;Scotland;2.75
Chocolate Tree; The;Criollo;Madagascar;919;2012;72%;Scotland;3.25
Chocolats Privilege;Xoconusco;Mexico;1219;2014;70%;Canada;2.5;Criollo
ChocoReko;Patanemo;Venezuela;1454;2015;77%;Japan;3;Criollo
Chocosol;Chiapas, Lacandon Jungle, Oaxacom Mtn;Mexico;682;2011;65%;Canada;3.25;
Chocovic;Xoconusco;Mexico;478;2010;71%;Spain;3.25;Criollo
Chocovic;Sambirano;Madagascar;478;2010;71%;Spain;3.5;Trinitario
Chocovic;Kendari;;439;2009;60%;Spain;3.25;
Chocovic;Tarakan;;439;2009;75%;Spain;3.25;
Chocovic;Ocumare;Venezuela;209;2008;71%;Spain;3.5;Criollo
Chocovic;Bolivar, Guaranda;Ecuador;117;2007;71%;Spain;2.5;Forastero (Arriba)
Chocovic;Guyave;Grenada;117;2007;71%;Spain;2.5;Trinitario
Chocovic;Maragda;;117;2007;70%;Spain;3;Blend
Chocovivo;Tabasco;Mexico;1522;2015;65%;U.S.A.;2.5;Trinitario
Chocovivo;Tabasco;Mexico;1522;2015;75%;U.S.A.;2.5;Trinitario
Choklat;Ocumare;Venezuela;377;2009;80%;Canada;2.5;Criollo
Choklat;Porcelana, Tabasco;Mexico;377;2009;70%;Canada;2.75;Criollo
Choklat;Brazilian;Brazil;377;2009;70%;Canada;3;
Choklat;Brazilian;Brazil;377;2009;80%;Canada;3;
Choklat;Ocumare;Venezuela;377;2009;70%;Canada;3;Criollo
Chokolat Elot (Girard);Guadeloupe;Martinique;1149;2013;42%;Martinique;2.75;
Choocsol;Chiapas, Lacandon Jungle, Oaxacom Mtn;Mexico;1832;2016;75%;Canada;3.25;
Christopher Morel (Felchlin);Maranon Canyon, Fortunato No. 4;Peru;666;2011;68%;Canada;3.75;Forastero (Nacional)
Chuao Chocolatier;Choroni;Venezuela;445;2009;61%;U.S.A.;3;Criollo
Chuao Chocolatier (Pralus);Chuao;Venezuela;486;2010;77%;U.S.A.;2.75;Trinitario
Claudio Corallo;Terreiro Velho P.;Sao Tome & Principe;470;2010;73.5%;Sao Tome;3.75;Forastero
Claudio Corallo;Terreiro Velho P. w/ sugar crystals;Sao Tome & Principe;209;2008;80%;Sao Tome;3;Forastero
Claudio Corallo;Terreiro Velho P.;Sao Tome & Principe;227;2008;75%;Sao Tome;4;Forastero
Claudio Corallo;Principe;Sao Tome & Principe;252;2008;100%;Sao Tome;1;Forastero
Cloudforest;Camino Verde P., Balao, Guayas, 2014;Ecuador;1486;2015;73%;U.S.A.;3.5;
Coleman & Davis;Sambirano;Madagascar;1646;2015;75%;U.S.A.;3;Trinitario
Compania de Chocolate (Salgado);Sur del Lago;Venezuela;579;2010;70%;Argentina;3.25;
Compania de Chocolate (Salgado);Carenero Superior;Venezuela;292;2008;80%;Argentina;2.75;Trinitario
Compania de Chocolate (Salgado);Moxos;Bolivia;292;2008;72%;Argentina;3.25;
Compania de Chocolate (Salgado);Ocumare;Venezuela;292;2008;70%;Argentina;3.75;Criollo
Compania de Chocolate (Salgado);Esmeraldas;Ecuador;296;2008;88%;Argentina;2.75;Forastero (Nacional)
Condor;Camino Verde;Ecuador;1630;2015;76%;U.S.A.;3.5;
Confluence;Tien Giang, 2015, batch 10-2-16;Vietnam;1916;2016;78%;U.S.A.;2.75;Trinitario
Coppeneur;Ecuador, Puristique;Ecuador;1169;2013;65%;Germany;3.25;Forastero (Nacional)
Coppeneur;Ghana Puristique;Ghana;813;2012;85%;Germany;3.5;Forastero
Coppeneur;Ecuador Puristique;Ecuador;817;2012;100%;Germany;1.5;
Coppeneur;Uba Budo;Sao Tome & Principe;821;2012;72%;Germany;3.75;Forastero
Coppeneur;Madagascar;Madagascar;959;2012;70%;Germany;3.5;Trinitario
Coppeneur;Grenada;Grenada;470;2010;72%;Germany;3.25;Trinitario
Coppeneur;Chuao;Venezuela;478;2010;70%;Germany;3;Trinitario
Coppeneur;Los Rios, H. Iara;Ecuador;558;2010;72%;Germany;2.5;Nacional
Coppeneur;Trinidad;Trinidad;558;2010;72%;Germany;3;Trinitario
Coppeneur;Jamaica;Jamaica;558;2010;72%;Germany;3.25;Trinitario
Coppeneur;Ocumare 61;Venezuela;558;2010;72%;Germany;3.25;Criollo (Ocumare 61)
Coppeneur;Porcelana, Apotequil;Peru;341;2009;72%;Germany;3;Criollo
Coppeneur;Porcelana, Apotequil;Peru;445;2009;62%;Germany;3.25;Criollo
Coppeneur;Chuao 100hr;Venezuela;451;2009;70%;Germany;3.5;Criollo, Trinitario
Coppeneur;Chuao 70hr;Venezuela;451;2009;70%;Germany;3.75;Criollo, Trinitario
Coppeneur;Porcelana, Tabasco, Mexico;Mexico;220;2008;72%;Germany;3;Criollo
Coppeneur;Porcelana, Venezuela;Venezuela;220;2008;72%;Germany;3;Criollo (Porcelana)
Coppeneur;Sambirano, Menava P.;Madagascar;196;2007;72%;Germany;3;Trinitario
Cote d' Or (Kraft);Sensations Intense;;48;2006;70%;Belgium;1;
Cravve;New Ireland;Papua New Guinea;1283;2014;70%;Australia;2.5;Forastero
Cravve;Vanuatu, batch 2410;Vanuatu;1335;2014;83%;Australia;2.75;Trinitario
Cravve;Tanzania, batch a1;Tanzania;971;2012;75%;Australia;3.25;Forastero
Cravve;Bahia, batch a1213;Brazil;975;2012;65%;Australia;3.25;Trinitario
Cravve;Namau Village, N. Taileva P., batch a2812;Fiji;975;2012;67%;Australia;3.25;Trinitario
Cravve;Vanuatu;Vanuatu;975;2012;64%;Australia;3.25;Trinitario
Cravve;Djual Island;Papua New Guinea;975;2012;75%;Australia;3.5;Forastero
Creo;"""heirloom"", Arriba Nacional";Ecuador;1736;2016;85%;U.S.A.;3.25;Forastero (Nacional)
Creo;"""heirloom"", Arriba Nacional";Ecuador;1736;2016;73%;U.S.A.;3.75;Forastero (Nacional)
Daintree;Goodman Estate;Australia;1654;2015;70%;Australia;2.75;
Daintree;Daintree Estates, N. Queensland;Australia;785;2011;70%;Australia;3.25;
Dalloway;Dominican Republic, batch 7;Dominican Republic;1928;2017;72%;U.S.A.;2.75;
Damson;Robson Estate;Trinidad;1610;2015;70%;U.K.;3;Trinitario
Damson;Los Rios;Ecuador;1610;2015;70%;U.K.;3.5;
Damson;Crayfish Bay aka Non Pariel Estate;Grenada;1666;2015;70%;U.K.;2.25;
Damson;O'Payo;Nicaragua;1666;2015;70%;U.K.;2.75;
Dandelion;Zorzal Reserva, 2015 H., Kerchner;;1816;2016;70%;U.S.A.;3.75;
Dandelion;Maya Mtn., Break Bar- Snark;Belize;1446;2015;70%;U.S.A.;3;Trinitario
Dandelion;Maya Mountain;Belize;1219;2014;70%;U.S.A.;3.5;Trinitario
Dandelion;Camino Verde P., Balao, Guayas, 2013;Ecuador;1295;2014;70%;U.S.A.;3.5;
Dandelion;Buto;Liberia;1303;2014;70%;U.S.A.;2.75;
Dandelion;San Francisco de Macoris, Cibao region;Dominican Republic;1387;2014;70%;U.S.A.;3.75;
Dandelion;Cumboto, farmer Jose Lugo;Venezuela;1026;2013;70%;U.S.A.;2.75;
Dandelion;Patanemo;Venezuela;1026;2013;70%;U.S.A.;3.25;
Dandelion;Mantuano, 2012;Venezuela;1085;2013;70%;U.S.A.;3.5;
Dandelion;Papua New Guinea;Papua New Guinea;1153;2013;70%;U.S.A.;3.5;
Dandelion;Upala;Costa Rica;805;2012;70%;U.S.A.;3;
Dandelion;Colombian;Colombia;805;2012;70%;U.S.A.;3.25;
Dandelion;Elvesia, 2011;Dominican Republic;915;2012;70%;U.S.A.;3.75;
Dandelion;Dominican Republic;Dominican Republic;654;2011;70%;U.S.A.;3.25;
Dandelion;Madagascar;Madagascar;654;2011;70%;U.S.A.;3.25;Trinitario
Dandelion;Tanzania;Tanzania;654;2011;70%;U.S.A.;3.25;
Danta;Los Ujuxtes;Guatemala;1223;2014;82%;Guatemala;3.25;
Danta;Chuao;Venezuela;987;2012;75%;Guatemala;3;Trinitario
Danta;Los Ujuxtes;Guatemala;987;2012;70%;Guatemala;3.75;
Danta;Sambirano;Madagascar;987;2012;70%;Guatemala;3.75;Trinitario
Danta;Las Acacias E.;Guatemala;987;2012;70%;Guatemala;4;Criollo
Danta;Oscuro, Finca Chimelb;Guatemala;991;2012;70%;Guatemala;3.25;
Danta;Los Ujuxtes;Guatemala;661;2011;60%;Guatemala;3.5;
Danta;Las Acacias E.;Guatemala;423;2009;75%;Guatemala;3;Criollo
Danta;Las Acacias E.;Guatemala;423;2009;60%;Guatemala;3.25;Criollo
DAR;Venezuela, batch 122;Venezuela;1920;2016;72%;U.S.A.;2.75;
DAR;Vietnam;Vietnam;1920;2016;72%;U.S.A.;3;Trinitario
DAR;DUO, batch 002;Ecuador, Costa Rica;1920;2016;70%;U.S.A.;3.25;
Dark Forest;Bolivia;Bolivia;1708;2016;75%;U.S.A.;3.25;
Dark Forest;Madagascar;Madagascar;1550;2015;70%;U.S.A.;3;Trinitario
Dark Forest;Ocumare;Venezuela;1550;2015;70%;U.S.A.;3.25;
Dark Forest;Tanzania;Tanzania;1554;2015;70%;U.S.A.;3;
Dark Forest;Ecuador;Ecuador;1554;2015;70%;U.S.A.;3.25;
Davis;Ghana;Ghana;1093;2013;70%;U.S.A.;2.5;Forastero
Davis;Rainforest;Dominican Republic;1093;2013;70%;U.S.A.;2.75;
Davis;Venezuela;Venezuela;1093;2013;70%;U.S.A.;2.75;
Davis;West Africa;West Africa;907;2012;58%;U.S.A.;3.25;Forastero
De Mendes;Nativo, Varzea;Brazil;1462;2015;72%;Brazil;3.5;
De Mendes;Selvagem, Jari;Brazil;1462;2015;65%;Brazil;3.5;
De Villiers;Bundibugyo District;Uganda;1832;2016;70%;South Africa;2.5;Forastero
De Villiers;Sambirano Valley, batch 2477;Madagascar;1832;2016;70%;South Africa;3;
Dean and Deluca (Belcolade);Madagascar;Madagascar;170;2007;66%;U.S.A.;2.5;Trinitario
Dean and Deluca (Belcolade);Costa Rica;Costa Rica;175;2007;64%;U.S.A.;3;
Dean and Deluca (Belcolade);Ecuador;Ecuador;175;2007;71%;U.S.A.;3;
Dean and Deluca (Belcolade);Ghana;Ghana;175;2007;60%;U.S.A.;3;Forastero
Dean and Deluca (Belcolade);Papua New Guinea;Papua New Guinea;180;2007;64%;U.S.A.;3;
Dean and Deluca (Belcolade);Peru;Peru;180;2007;64%;U.S.A.;3;
Debauve & Gallais (Michel Cluizel);Papua New Guinea;Papua New Guinea;423;2009;64%;France;3;
Debauve & Gallais (Michel Cluizel);Venezuela;Venezuela;263;2008;66%;France;3.75;
Desbarres;Kilombero, batch 41;Tanzania;1916;2016;72%;Canada;2.5;
DeVries;Bolivian;Bolivia;241;2008;80%;U.S.A.;2.75;
DeVries;Costa Rica;Costa Rica;166;2007;77%;U.S.A.;3.5;Trinitario
DeVries;Dominican Republic;Dominican Republic;166;2007;77%;U.S.A.;3.5;
Dick Taylor;Lanquin Estate;Guatemala;1952;2017;70%;U.S.A.;3.75;
Dick Taylor;Tien Giang;Vietnam;1864;2016;78%;U.S.A.;3.5;Trinitario
Dick Taylor;Alto Beni, Wild Harvest, Limited Ed.;Bolivia;1634;2015;70%;U.S.A.;3.75;
Dick Taylor;Elvesia;Dominican Republic;1235;2014;74%;U.S.A.;3.5;
Dick Taylor;Ecuador, Choc. Garage Exclusive;Ecuador;1034;2013;70%;U.S.A.;3.25;
Dick Taylor;Camino Verde;Ecuador;1193;2013;76%;U.S.A.;3.5;
Dick Taylor;Bolivia;Bolivia;895;2012;75%;U.S.A.;2.75;
Dick Taylor;Belize;Belize;955;2012;72%;U.S.A.;2.75;Trinitario
Dick Taylor;Sambirano;Madagascar;661;2011;80%;U.S.A.;2.75;Trinitario
Dick Taylor;Sambirano;Madagascar;661;2011;72%;U.S.A.;3;Trinitario
Dick Taylor;Mantuano;Venezuela;682;2011;75%;U.S.A.;2.75;Criollo
Dick Taylor;La Red;Dominican Republic;769;2011;74%;U.S.A.;3;
Dick Taylor;Ecuador;Ecuador;769;2011;70%;U.S.A.;3.25;
Doble & Bignall;Puerto Cabello;Venezuela;1688;2015;85%;U.K.;3;
Doble & Bignall;Panama, Raven;Panama;1371;2014;72%;U.K.;3.25;
Doble & Bignall;Puerto Cabello, Mantuano;Venezuela;1371;2014;72%;U.K.;3.25;Trinitario
Doble & Bignall;Johe;Nicaragua;1407;2014;72%;U.K.;3.5;Criollo, Trinitario
Dole (Guittard);O'ahu, N. Shore, Waialua Estate;Hawaii;311;2009;70%;U.S.A.;3.75;
Dolfin (Belcolade);Africa;West Africa;304;2008;88%;Belgium;3;Forastero
Dolfin (Belcolade);Noir;;63;2006;70%;Belgium;1.5;
Domori;Hacienda Victoria;Ecuador;1672;2015;70%;Italy;3.75;
Domori;Ocumare 77;Venezuela;1672;2015;70%;Italy;3.75;Criollo (Ocumare 77)
Domori;IL100, H. San Jose;Venezuela;1109;2013;100%;Italy;3;Criollo
Domori;Morogoro;Tanzania;863;2012;70%;Italy;3.5;
Domori;Guasare;Venezuela;863;2012;70%;Italy;3.75;Criollo
Domori;Canoabo, Hacienda San Jose;Venezuela;693;2011;70%;Italy;3.5;Criollo
Domori;Chuao, Hacienda San Jose;Venezuela;470;2010;70%;Italy;3;Trinitario
Domori;Carupano, H. San Jose;Venezuela;227;2008;70%;Italy;3;Trinitario
Domori;Teyuna;Colombia;272;2008;70%;Italy;3;
Domori;Blend No. 1;;272;2008;78%;Italy;3.5;Blend
Domori;Ilblend;;272;2008;70%;Italy;3.75;Blend
Domori;Porcelana;Venezuela;111;2007;70%;Italy;4;Criollo (Porcelana)
Domori;Ocumare 61, Puertomar;Venezuela;129;2007;75%;Italy;3.25;Criollo (Ocumare 61)
Domori;Granella;Venezuela;135;2007;60%;Italy;3.25;Trinitario
Domori;Madagascar;Madagascar;135;2007;70%;Italy;3.5;Trinitario
Domori;Madagared;Madagascar;192;2007;70%;Italy;3.5;Criollo
Domori;Java, Javablond;Indonesia;192;2007;70%;Italy;3.75;Criollo
Domori;Ecuador;Ecuador;192;2007;70%;Italy;4;Forastero (Arriba)
Domori;Ocumare 67, Puertofino;Venezuela;192;2007;70%;Italy;4;Criollo (Ocumare 67)
Domori;Sur del Lago Classificado;Venezuela;87;2006;70%;Italy;3;Trinitario
Domori;Apurimac;Peru;87;2006;70%;Italy;3.25;Trinitario
Domori;Carenero Superior;Venezuela;87;2006;70%;Italy;3.5;Trinitario
Dormouse;Non Pariel Estate;Grenada;1880;2016;75%;U.K.;2.75;Trinitario
Dormouse;Rio Caribe, Batch 7;Venezuela;1672;2015;70%;U.K.;2.5;Trinitario
Dormouse;Colombia, Batch 9;Colombia;1676;2015;80%;U.K.;2.75;Criollo, Trinitario
Dormouse;Madagascar, Batch 8;Madagascar;1676;2015;77%;U.K.;2.75;Criollo, Trinitario
Duffy's;Rio Dulce, Xoco;Guatemala;1662;2015;70%;U.K.;4;Criollo
Duffy's;Chuno, Xoco;Nicaragua;1331;2014;70%;U.K.;3.5;Criollo
Duffy's;Rico Rugoso, Xoco;Nicaragua;1331;2014;76%;U.K.;3.75;Criollo
Duffy's;Ocumare;Venezuela;923;2012;72%;U.K.;3.75;
Duffy's;Indio Rojo, Xoco;Honduras;623;2011;72%;U.K.;3.75;Criollo
Duffy's;Dominican Republic;Dominican Republic;661;2011;65%;U.K.;3.5;
Duffy's;Bocas del Toro, Tierra Oscura;Panama;697;2011;72%;U.K.;3;
Duffy's;Nicaliso, Xoco;Nicaragua;697;2011;71%;U.K.;3.25;Criollo
Duffy's;Ocumare;Venezuela;765;2011;71%;U.K.;3.5;
Duffy's;Panama;Panama;516;2010;70%;U.K.;3.5;
Duffy's;Corazon del Ecuador, Calceta beans;Ecuador;516;2010;72%;U.K.;3.75;
Duffy's;Star of Ecuador;Ecuador;523;2010;70%;U.K.;2.5;
Duffy's;Star of Peru;Peru;523;2010;70%;U.K.;3.75;
Dulcinea;Dominican Republic;Dominican Republic;1506;2015;70%;U.S.A.;3.25;
Durand;Madagascar;Madagascar;841;2012;82%;France;2.75;Trinitario
Durci;Maranon, Joya Rara;Peru;1626;2015;70%;U.S.A.;3.5;Forastero (Nacional)
Durci;Rio Caribe, Tepui Treasure;Venezuela;1626;2015;70%;U.S.A.;3.5;Trinitario
Durci;Taino Secret;Domincan Republic;1630;2015;70%;U.S.A.;3.25;
Durci;Carenero, Empyrean Sabor;Venezuela;1630;2015;70%;U.S.A.;3.25;Trinitario
Durci;Corona Arriba;Ecuador;1630;2015;70%;U.S.A.;4;
East Van Roasters;Peru;Peru;1343;2014;70%;Canada;3.25;
East Van Roasters;Madagascar;Madagascar;1343;2014;70%;Canada;3.5;Trinitario
East Van Roasters;Dominican Republic;Dominican Republic;1343;2014;70%;Canada;3.75;
Eau de Rose;Tumaco;Colombia;1812;2016;70%;Canada;3.25;
Eau de Rose;Arauca;Colombia;1812;2016;70%;Canada;3.25;
Eclat (Felchlin);Maranon, Good & Evil, w/ nibs;Peru;919;2012;72%;U.S.A.;2.75;Forastero (Nacional)
Edelmond;Porcelana;Venezuela;1876;2016;68%;Germany;3;Criollo
El Ceibo;Alto Beni, Covendo Region;Bolivia;709;2011;75%;Bolivia;3.75;
El Ceibo;Alto Beni;Bolivia;252;2008;71%;Bolivia;2.75;
El Rey;San Joaquin;Venezuela;1662;2015;70%;Venezuela;3.75;
El Rey;Rio Caribe, Cariaco;Venezuela;439;2009;60.5%;Venezuela;2.75;Trinitario
El Rey;Rio Caribe, Macuro;Venezuela;439;2009;70%;Venezuela;3;Trinitario
El Rey;Carenero Superior, Apamate;Venezuela;206;2008;74%;Venezuela;2.5;Criollo
El Rey;Carenero Superior, Bucare;Venezuela;206;2008;58%;Venezuela;2.5;Criollo
El Rey;Carenero Superior, Mijao;Venezuela;206;2008;61%;Venezuela;3;Criollo
El Rey;Carenero Superior, Gran Saman;Venezuela;32;2006;70%;Venezuela;2.75;Criollo
Emerald Estate;Emerald Estate;St. Lucia;1137;2013;60%;St. Lucia;2.75;
Emerald Estate;Emerald Estate;St. Lucia;1137;2013;70%;St. Lucia;3.25;
Emily's;Patanemo;Venezuela;1450;2015;79%;Japan;3;
Emily's;Peru;Peru;1454;2015;78%;Japan;3.5;Criollo
ENNA;Wampusirpi, batch 007;Honduras;1916;2016;75%;U.S.A.;3.25;
Enric Rovira (Claudio Corallo);Terreiro Velho P.;Sao Tome & Principe;565;2010;80%;Spain;3.25;Forastero
Erithaj (A. Morin);Ben Tre;Vietnam;1205;2014;70%;France;3.25;Trinitario
Erithaj (A. Morin);Ham Luong;Vietnam;1209;2014;80%;France;3;Trinitario
Erithaj (A. Morin);Ba Lai;Vietnam;1209;2014;74%;France;3.25;Trinitario
Escazu;Rio Caribe;Venezuela;903;2012;70%;U.S.A.;2.75;Trinitario
Escazu;Guapiles;Costa Rica;414;2009;65%;U.S.A.;2;
Escazu;Carenero Superior;Venezuela;423;2009;81%;U.S.A.;3.5;Criollo
Escazu;Carenero, Guapiles, Ocumare blend;Cost Rica, Ven;431;2009;74%;U.S.A.;2.75;
Escazu;Ocumare;Venezuela;252;2008;72%;U.S.A.;3;Criollo
Ethel's Artisan (Mars);Peru, Madagascar;Peru, Madagascar;666;2011;55%;U.S.A.;2.5;
Ethel's Artisan (Mars);Trinidad;Trinidad;666;2011;55%;U.S.A.;2.5;Trinitario
Ethel's Artisan (Mars);Porcelana;Venezuela;666;2011;70%;U.S.A.;2.5;Criollo (Porcelana)
Ethel's Artisan (Mars);Red Vanilla;;666;2011;62%;U.S.A.;2.75;
Ethel's Artisan (Mars);Venezuela, Trinidad;Venezuela, Trinidad;672;2011;62%;U.S.A.;2.5;
Ethereal;Belize;Belize;1275;2014;80%;U.S.A.;3;Trinitario
Ethereal;Ecuador;Ecuador;1275;2014;80%;U.S.A.;3.5;
Ethereal;Dominican Republic;Dominican Republic;1275;2014;80%;U.S.A.;3.75;
Fearless (AMMA);Monte Alegre, D. Badaro, Raw, Organic;Brazil;565;2010;75%;U.S.A.;2.75;
